Episode,Total Reward,Actor Loss,Critic Loss,Collision Count,Completion Time,Termination State,Step Count,Distance To Goal
42,363.4445354773155,0.24841688200831413,1.8082554042339325,1,19.16,{'Drone1': 'Goal Reached'},25,0.4234285058491147
43,445.1034823380928,0.13100646808743477,0.33797990903258324,4,78.98,{'Drone1': 'Timeout'},120,4.448466563967771
44,404.8680480311435,0.35692549496889114,0.6145449429750443,0,23.25,{'Drone1': 'Goal Reached'},34,0.41040952138308745
45,649.3039081808002,0.3289332315325737,0.48796845972537994,0,73.75,{'Drone1': 'Goal Reached'},115,0.4791039973320987
46,129.3496252591802,0.5065431538969278,0.32092181220650673,35,84.88,{'Drone1': 'Timeout'},120,10.138837624420937
47,187.78006596394079,0.17637501284480095,0.11819157376885414,22,82.00,{'Drone1': 'Timeout'},120,10.946309187642022
48,117.48985805569141,-0.05543810734525323,0.11848762817680836,28,83.30,{'Drone1': 'Timeout'},120,8.68030973870262
49,90.81604239491986,-0.05081378319300711,0.07087859977036715,42,86.38,{'Drone1': 'Timeout'},120,7.363261403909631
50,436.10500449953685,0.4758522044867277,0.7155280411243439,11,81.44,{'Drone1': 'Timeout'},120,4.728862540725649
51,417.0590521059655,0.18118279986083508,0.5551571920514107,5,79.70,{'Drone1': 'Timeout'},120,2.418844012267163
